Date,Package,Forecasted_Demand,Optimal_Price,Bookings_At_Optimal_Price,Expected_Revenue,Inventory_Utilized
2025-12-31,Alpine Adventure,24.0,2200.0,21.8,48037.55,21.8
2026-01-01,Alpine Adventure,24.0,2200.0,21.8,48037.55,43.6
2026-01-02,Alpine Adventure,28.0,2200.0,25.5,56043.81,69.1
2026-01-03,Alpine Adventure,27.0,2200.0,24.6,54042.24,93.7
2026-01-04,Alpine Adventure,26.0,2200.0,23.7,52040.68,117.4
2026-01-05,Alpine Adventure,22.0,2200.0,20.0,44034.42,137.4
2026-01-06,Alpine Adventure,23.0,2200.0,20.9,46035.98,158.3
2026-01-07,Alpine Adventure,22.0,2200.0,20.0,44034.42,178.3
2026-01-08,Alpine Adventure,23.0,2200.0,20.9,46035.98,199.2
2026-01-09,Alpine Adventure,27.0,2200.0,24.6,54042.24,223.8
2026-01-10,Alpine Adventure,25.0,2200.0,22.7,50039.11,246.5
2026-01-11,Alpine Adventure,25.0,2200.0,22.7,50039.11,269.2
2026-01-12,Alpine Adventure,21.0,2200.0,19.1,42032.85,288.3
2026-01-13,Alpine Adventure,21.0,2200.0,19.1,42032.85,307.4
2025-12-31,Mediterranean Luxury,8.0,2500.0,5.7,14310.52,5.7
2026-01-01,Mediterranean Luxury,8.0,2500.0,5.7,14310.52,11.4
2026-01-02,Mediterranean Luxury,7.0,2150.0,6.4,13734.89,17.8
2026-01-03,Mediterranean Luxury,7.0,2150.0,6.4,13734.89,24.2
2026-01-04,Mediterranean Luxury,7.0,2150.0,6.4,13734.89,30.6
2026-01-05,Mediterranean Luxury,7.0,2150.0,6.4,13734.89,37.0
2026-01-06,Mediterranean Luxury,6.0,2150.0,5.5,11772.76,42.5
2026-01-07,Mediterranean Luxury,6.0,2500.0,4.3,10732.89,46.8
2026-01-08,Mediterranean Luxury,5.0,2150.0,4.6,9810.64,51.4
2026-01-09,Mediterranean Luxury,6.0,2150.0,5.5,11772.76,56.9
2026-01-10,Mediterranean Luxury,6.0,2150.0,5.5,11772.76,62.4
2026-01-11,Mediterranean Luxury,6.0,2150.0,5.5,11772.76,67.9
2026-01-12,Mediterranean Luxury,6.0,2500.0,4.3,10732.89,72.2
2026-01-13,Mediterranean Luxury,5.0,2850.0,2.9,8253.63,75.1
2025-12-31,Tropical Budget,19.0,800.0,16.2,12982.64,16.2
2026-01-01,Tropical Budget,16.0,800.0,13.7,10932.75,29.9
2026-01-02,Tropical Budget,20.0,650.0,26.9,17486.95,56.8
2026-01-03,Tropical Budget,19.0,800.0,16.2,12982.64,73.0
2026-01-04,Tropical Budget,22.0,650.0,29.6,19235.65,102.6
2026-01-05,Tropical Budget,17.0,800.0,14.5,11616.05,117.1
2026-01-06,Tropical Budget,17.0,650.0,22.9,14863.91,140.0
2026-01-07,Tropical Budget,17.0,650.0,22.9,14863.91,162.9
2026-01-08,Tropical Budget,17.0,650.0,22.9,14863.91,185.8
2026-01-09,Tropical Budget,21.0,800.0,17.9,14349.24,203.7
2026-01-10,Tropical Budget,23.0,800.0,19.6,15715.83,223.3
2026-01-11,Tropical Budget,22.0,650.0,29.6,19235.65,252.9
2026-01-12,Tropical Budget,17.0,650.0,22.9,14863.91,275.8
2026-01-13,Tropical Budget,18.0,650.0,24.2,15738.26,300.0
